Link,Company,Title,Location,summary
https://www.jobkorea.co.kr/Recruit/GI_Read/40838541,로타렉스코리아㈜,UHP 밸브 및 Equipment 기술영업,충남,"국내영업, 기술영업, 법인영업, 일반영업"
https://www.jobkorea.co.kr/Recruit/GI_Read/40855098,싸이젠코리아㈜,URGENT [제약] Product Manager 제약 마케팅 PM / Oncology PM,서울,"시장분석, 프로모션, CRM"
https://www.jobkorea.co.kr/Recruit/GI_Read/40824167,㈜히타치에너지코리아,[부산/정규직] 변압기사업부 Service Sales Specialist (신입-대리),부산,"자동제어, 전기, 전기공사, 전기기사, 전기제어, 기술영업, 자동화설비영업, 하드웨어영업, 기계설비, 전기기사, 전기설비"
https://www.jobkorea.co.kr/Recruit/GI_Read/40807187,엔티티코리아㈜,[NTT] 네트워크/솔루션 Client Partner 경력직 모집,서울,"네트워크영업, 시스템영업, 영업관리, 솔루션기술영업, 네트웍구축, 별정통신, 통신, 영업관리, 영업기획"
https://www.jobkorea.co.kr/Recruit/GI_Read/40819364,스파르스비트,영어 통역 마케팅,서울,"전략, 국제회의, 업무제휴, CRM, 기술영업"
https://www.jobkorea.co.kr/Recruit/GI_Read/40820904,힐티코리아㈜,"[외국계] Product Portfolio Manager (마케팅 Product Manager, Project Manager)",서울,"건설, 마케팅, 마케팅기획, 시장분석"
https://www.jobkorea.co.kr/Recruit/GI_Read/40854765,원텍㈜,글로벌 원텍(주)과 함께할 주인공을 찾습니다.,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40881214,에이치앤엠헤네스앤모리츠㈜ &other stories,[앤아더스토리즈] Digital Marketing Specialist 모집,서울,"마케팅, 소셜미디어, 시장분석, 키워드광고, 프로모션"
https://www.jobkorea.co.kr/Recruit/GI_Read/40809615,㈜시벨코코리아,"인사, 회계 경력직 (Business Service Representative)",충남,"교육훈련, 노무, 성과관리, 인사, 채용·면접, 4대보험, 급여관리, 부가세신고, 세무, 회계, 자금"
https://www.jobkorea.co.kr/Recruit/GI_Read/40870152,아디다스코리아(유),"[adidas Korea] Sr.Specialist, Franchise, aGolf",서울,영업관리
https://www.jobkorea.co.kr/Recruit/GI_Read/40806835,엘지전자㈜,[VS본부] 채권관리 분야 전문가 경력 채용,서울,채권관리
https://www.jobkorea.co.kr/Recruit/GI_Read/40862194,아데코코리아,[외국계/경산] Sourcing Manager,경북,"헤드헌팅, 구매관리"
https://www.jobkorea.co.kr/Recruit/GI_Read/40682616,아데코코리아,[천안/외국계자동차부품사]재경팀 Accountant,충남,회계
https://www.jobkorea.co.kr/Recruit/GI_Read/40851413,한국하니웰㈜,"[한국하니웰] Sr Territory Manager, DX (석유화학,7년 이상)",서울,"국내영업, 기술영업, 기술영업, 기술지원, 솔루션영업, 시스템영업, 신기술영업"
https://www.jobkorea.co.kr/Recruit/GI_Read/40682892,아데코코리아,[외국계/판교] Account Manager,경기,"소프트웨어개발, 기술영업, 반도체영업, 소프트웨어"
https://www.jobkorea.co.kr/Recruit/GI_Read/40717406,아고다,[대규모 확장]글로벌 OTA 아고다 신입경력 Global 채용 서울/방콕,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40758644,우아한청년들,부문별 경력/신입 인재영입,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40888028,재단법인 여주세종문화재단,(재)여주세종문화관광재단 직원 채용 공고,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40856839,코오롱그룹,2023년 코오롱그룹 1월 정기공채,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40802295,㈜보령,신약연구센터 Licensing팀 경력직 모집[경력 2년 이상],서울,"의약, 제약, 기획조사, 사업기획, 신규사업·BD, 전략, 타당성분석, 제약, 의약품"
https://www.jobkorea.co.kr/Recruit/GI_Read/40838706,우미건설,우미 1월 경력사원 수시채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40803547,㈜펫박스,[(주)펫박스] 23년 각 분야 인재 채용 (온라인MD/마케터/CS/영업/회계/개발자/사업개발),,
